"","id","X","original_title","release_date","Actor","actorMovieCount","runtime","ProductionBudget","DomesticGross","quarter","animation","comedy","family","adventure","fantasy","romance","drama","action","crime","thriller","horror","history","mystery","war","music","documentary","western","scifi","clean_director","New Year's Day","Martin Luther King Jr. Day","Valentine's Day","Presidents' Day","Good Friday","Mother's Day","Memorial Day","Father's Day","Independence Day","Labor Day","Columbus Day","Veterans Day","Thanksgiving Day","Christmas Eve","Christmas Day","Independence Day observed","Christmas Day observed","New Year's Day observed","Christmas Eve observed","Veterans Day observed","related_holiday"
"22",201,1598,"star trek nemesis",2002-12-13,"patrickstewart",4,117,6e+07,43254409,"Q4",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"stuartbaird",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"23",277,2206,"underworld",2003-09-19,"katebeckinsale",3,121,2.2e+07,51970690,"Q3",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,"lenwiseman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"24",292,474,"dave chappelle s block party",2005-09-12,"davechappelle",1,100,3e+06,11718595,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"michelgondry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"25",296,1673,"terminator 3 rise of the machines",2003-07-02,"arnoldschwarzenegger",9,109,1.7e+08,150358296,"Q3",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"jonathanmostow",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"None"
"26",302,1649,"swimming pool",2003-05-18,"charlotterampling",1,102,7800000,10130108,"Q3",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"françoisozon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"27",320,891,"insomnia",2002-05-24,"alpacino",8,118,4.6e+07,67263182,"Q2",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,"christophernolan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"28",322,1206,"mystic river",2003-10-07,"seanpenn",3,138,3e+07,90135191,"Q4",0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,"clinteastwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"29",331,959,"jurassic park iii",2001-07-18,"samneill",2,92,9.3e+07,181166115,"Q3",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"joejohnston",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"30",423,2007,"the pianist",2002-09-24,"adrienbrody",1,150,3.5e+07,32519322,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,"romanpolanski",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"31",425,865,"ice age",2002-03-10,"rayromano",4,81,6.5e+07,176387405,"Q1",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"chriswedge",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"32",453,34,"a beautiful mind",2001-12-11,"russellcrowe",6,135,7.8e+07,170708996,"Q4",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"ronhoward",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"33",470,12,"21 grams",2003-09-06,"seanpenn",3,124,2e+07,16248701,"Q4",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"alejandrogonzáleziñárritu",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"34",480,1164,"monsoon wedding",2001-08-30,"naseeruddinshah",1,114,1200000,13876974,"Q1",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"miranair",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"35",590,1853,"the hours",2002-12-27,"nicolekidman",5,114,2.5e+07,41675994,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"stephendaldry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"None"
"36",598,383,"cidade de deus",2002-02-05,"alexandrerodrigues",1,130,3300000,7563397,"Q1",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"kátialund",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"37",605,1954,"the matrix revolutions",2003-11-05,"keanureeves",8,129,1.5e+08,139270910,"Q4",0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"lanawachowski",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"38",818,167,"austin powers in goldmember",2002-07-26,"mikemyers",3,94,6.3e+07,213117789,"Q3",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"jayroach",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"39",950,868,"ice age the meltdown",2006-03-23,"rayromano",4,91,7.5e+07,195330621,"Q1",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"carlossaldanha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"40",1088,2262,"whale rider",2003-01-30,"keishacastlehughes",1,101,4300000,20779666,"Q2",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"nikicaro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"41",1251,1023,"letters from iwo jima",2006-12-19,"kenwatanabe",1,141,1.3e+07,13756082,"Q4",0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,"clinteastwood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"42",1257,218,"because i said so",2007-02-02,"dianekeaton",2,102,3.9e+07,42674040,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"michaellehmann",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"43",1273,2142,"tmnt",2007-03-23,"chrisevans",4,90,3.5e+07,54149098,"Q1",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"kevinmunroe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"44",1428,1258,"once upon a time in mexico",2003-09-11,"antoniobanderas",5,102,2.9e+07,56330657,"Q3",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"robertrodriguez",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"45",1430,291,"bowling for columbine",2002-10-09,"michaelmoore",4,120,3e+06,21576018,"Q4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"michaelmoore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"46",1444,957,"junebug",2005-08-03,"embethdavidtz",1,106,1e+06,2678010,"Q3",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"philmorrison",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"47",1493,1154,"miss congeniality",2000-12-14,"sandrabullock",6,111,4.5e+07,106807667,"Q4",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"donaldpetrie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"48",1535,1588,"spy game",2001-11-18,"robertredford",3,126,9e+07,62362560,"Q4",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"tonyscott",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"49",1548,719,"ghost world",2001-07-20,"thorabirch",1,111,5500000,6217849,"Q3",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"terryzwigoff",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"50",1550,1318,"pieces of april",2003-01-19,"katieholmes",2,81,3e+05,2528664,"Q4",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"peterhedges",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"51",1555,1009,"l auberge espagnole",2002-05-17,"romainduris",1,122,5900000,3895664,"Q1",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"cédricklapisch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"52",1576,1412,"resident evil",2002-03-15,"millajovovich",3,100,3.5e+07,40119709,"Q1",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"paulw.s.anderson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"53",1584,1482,"school of rock",2003-10-03,"jackblack",3,108,2e+07,81261177,"Q4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"richardlinklater",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"54",1588,307,"bring it on",2000-08-25,"kirstendunst",3,98,1e+07,68353550,"Q3",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"peytonreed",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"55",1590,437,"copying beethoven",2006-09-10,"edharris",3,104,1.1e+07,355968,"Q4",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"agnieszkaholland",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"56",1597,1121,"meet the parents",2000-10-06,"benstiller",6,108,5.5e+07,166225040,"Q4",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"jayroach",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"57",1619,2112,"the way of the gun",2000-09-08,"beniciodeltoro",2,119,9e+06,6047856,"Q3",0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,"christophermcquarrie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"58",1636,220,"bedazzled",2000-10-19,"elizabethhurley",1,93,4.8e+07,37879996,"Q4",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"haroldramis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"59",1683,2031,"the reaping",2007-04-05,"hilaryswank",3,99,4e+07,25126214,"Q2",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"stephenhopkins",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"60",1698,118,"anatomie",2000-02-03,"frankapotente",2,103,2500000,9598,"Q3",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"stefanruzowitzky",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"61",1777,604,"fahrenheit 9 11",2004-06-25,"robertdeniro",12,122,6e+06,119114517,"Q2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"michaelmoore",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"62",1807,565,"elephant",2003-05-18,"alexfrost",1,81,3e+06,1266955,"Q4",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,"gusvansant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"63",1809,2046,"the rules of attraction",2002-10-11,"jamesvanderbeek",3,110,4e+06,6525762,"Q4",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"rogeravary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"64",1831,1972,"the next best thing",2000-03-03,"madonna",2,108,2.5e+07,14983572,"Q1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"johnschlesinger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"65",1900,2158,"traffic",2000-12-27,"michaeldouglas",5,147,4.8e+07,124107476,"Q4",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"stevensoderbergh",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"None"
"66",1927,855,"hulk",2003-06-19,"ericbana",1,138,1.37e+08,132177234,"Q2",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,"anglee",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"67",1931,1610,"stomp the yard",2007-05-16,"columbusshort",1,114,1.4e+07,61356221,"Q1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"sylvainwhite",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"68",1961,1203,"my name is bruce",2007-10-01,"brucecampbell",1,86,1500000,173066,"Q4",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"brucecampbell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"69",1988,108,"a mighty heart",2007-01-01,"angelinajolie",4,100,1.5e+07,9176787,"Q2",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"michaelwinterbottom",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"New Year's Day"
"70",1996,1004,"lara croft tomb raider the cradle of life",2003-07-21,"angelinajolie",4,117,9e+07,65653758,"Q3",0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,"jandebont",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"71",2024,1995,"the patriot",2000-06-28,"melgibson",7,165,1.1e+08,113330342,"Q2",0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,"rolandemmerich",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"72",2055,1268,"open range",2003-08-29,"kevincostner",8,139,2.6e+07,58331254,"Q3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"kevincostner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"73",2057,1275,"original sin",2001-08-03,"angelinajolie",4,118,2.6e+07,16521410,"Q3",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"michaelcristofer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"74",2069,2114,"the whole nine yards",2000-02-18,"brucewillis",4,98,2.4e+07,57262492,"Q1",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"jonathanlynn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"75",2084,247,"birthday girl",2001-09-06,"nicolekidman",5,93,1.3e+07,4919896,"Q1",0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"jezbutterworth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"76",2085,1452,"romeo must die",2000-03-20,"jetli",2,115,2.5e+07,55973336,"Q1",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"andrzejbartkowiak",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"77",2114,624,"final fantasy the spirits within",2001-07-02,"donaldsutherland",2,106,1.37e+08,32131830,"Q3",1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"motonorisakakibara",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"None"
"78",2133,2001,"the perfect storm",2000-03-15,"georgeclooney",6,130,1.2e+08,182618434,"Q2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"wolfgangpetersen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"79",2140,983,"kiss of the dragon",2001-07-06,"jetli",2,98,2.5e+07,36833473,"Q3",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"chrisnahon",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"None"
"80",2155,1404,"reindeer games",2000-02-25,"benaffleck",10,124,3.6e+07,23360779,"Q1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"johnfrankenheimer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"81",2176,1816,"the glass house",2001-09-14,"leeleesobieski",3,106,2.2e+07,17951431,"Q3",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"danielsackheim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"82",2196,484,"death at a funeral",2007-02-09,"matthewmacfadyen",1,90,2.1e+07,42739347,"Q2",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"frankoz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"83",2251,2209,"unfaithful",2002-05-10,"richardgere",3,124,5e+07,52752475,"Q2",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"adrianlyne",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"84",2252,552,"eastern promises",2007-09-14,"naomiwatts",2,100,5e+07,17181265,"Q3",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,"davidcronenberg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"85",2266,1296,"paris je t aime",2006-05-16,"stevebuscemi",3,120,1.3e+07,4857374,"Q1",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"danielathomas",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"86",2287,1428,"rize",2005-01-15,"christophertoler",1,86,7e+05,3278611,"Q2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"davidlachapelle",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"87",2312,896,"in the name of the king a dungeon siege tale",2007-11-29,"jasonstatham",4,127,6e+07,4775656,"Q1",0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,"uweboll",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"88",2539,1574,"spanglish",2004-12-17,"adamsandler",9,130,7.5e+07,42044321,"Q4",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"jamesl.brooks",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"89",2575,2078,"the tailor of panama",2001-02-11,"piercebrosnan",10,109,1.8e+07,13491653,"Q1",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,"johnboorman",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"90",2577,412,"code 46",2003-09-02,"timrobbins",2,92,7500000,197148,"Q3",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,"michaelwinterbottom",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"None"
"91",2621,1418,"return to me",2000-04-07,"davidduchovny",4,115,2.4e+07,32662299,"Q2",0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"bonniehunt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"92",2642,2194,"two weeks notice",2002-12-19,"sandrabullock",6,101,6e+07,93354918,"Q4",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"marclawrence",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"93",2655,2265,"what lies beneath",2000-07-21,"harrisonford",8,130,9e+07,155464351,"Q3",0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,"robertzemeckis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"94",2662,844,"house of 1000 corpses",2003-04-11,"sidhaig",1,89,7e+06,12634962,"Q2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"robzombie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"95",2749,5,"15 minutes",2001-03-01,"robertdeniro",12,120,4.2e+07,24375436,"Q1",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,"johnherzfeld",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"96",2755,36,"about schmidt",2002-12-13,"jacknicholson",8,125,3e+07,65005217,"Q4",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"alexanderpayne",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
"97",2787,1326,"pitch black",2000-02-18,"vindiesel",1,108,2.3e+07,39235088,"Q1",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,"davidtwohy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"None"
